dependent_variable,model,term,estimate,std_error,p_value,direction,significant_005,n,r_squared
LCP_pca,Model_2_centrality,z_weighted_degree,-0.09295629126310552,0.022549735224210818,0.03018422013125261,negative,Yes,655,0.1492358907972417
LCP_pca,Model_2_centrality,z_betweenness,0.03126171838042893,0.010650658949882692,0.05981261153693361,positive,No,655,0.1492358907972417
LCP_pca,Model_2_centrality,z_eigenvector,0.03689163147236269,0.018680591300308996,0.14621444764654382,positive,No,655,0.1492358907972417
LCP_pca,Model_3_exposure_adjusted,z_unweighted_degree,-0.09301688101640901,0.011378534314718056,0.002915923767388092,negative,Yes,655,0.19894353201508835
LCP_pca,Model_3_exposure_adjusted,z_betweenness,0.04633545780149755,0.009081676226628754,0.013457227027169066,positive,Yes,655,0.19894353201508835
LCP_pca,Model_3_exposure_adjusted,z_eigenvector,-0.00196737058989537,0.008364491263501058,0.8453755174660222,negative,No,655,0.19894353201508835
LCP_pca,Model_3_exposure_adjusted,z_record_exposure,-0.0017183388710370377,0.01639120018093897,0.9224303839935845,negative,No,655,0.19894353201508835
LCP_pca,Model_4_unweighted_degree,z_unweighted_degree,-0.09421981569152882,0.011229547653001314,0.0044809129141168275,negative,Yes,655,0.1989264365893299
LCP_pca,Model_4_unweighted_degree,z_betweenness,0.04673449985848508,0.009622864980054779,0.01631906702609814,positive,Yes,655,0.1989264365893299
LCP_pca,Model_4_unweighted_degree,z_eigenvector,-0.0019838258215504135,0.008219571501476846,0.8416131440151455,negative,No,655,0.1989264365893299
