family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component
"Zhang family, wu chang, Hubei","wu chang, Hubei",Hubei,Other,TRUE,3,4,6.144993924835551e-4,4.75482214780331e-5,3,TRUE
"Xu family, Wujin, Jiangsu","Wujin, Jiangsu",Jiangsu,Jiangsu,FALSE,4,4,0,0.00500412356101968,3,TRUE
"Xu family, Haining, Zhejiang","Haining, Zhejiang",Zhejiang,Zhejiang,FALSE,4,4,0.00132394861682412,7.32824129999839e-8,3,TRUE
"Xu family, da xing, Zhili","da xing, Zhili",Zhili,Other,TRUE,3,4,0.00429163746836108,4.0144907527436924e-9,3,TRUE
"xing family, Yanghu, Jiangsu","Yanghu, Jiangsu",Jiangsu,Jiangsu,FALSE,4,4,3.124070366570065e-5,1.5218642521095349e-5,3,TRUE
"wen family, zhang zhou, Jiangsu","zhang zhou, Jiangsu",Jiangsu,Jiangsu,TRUE,3,4,6.144993924835551e-4,3.1571719631282114e-7,3,TRUE
"wen family, ping xiang, Jiangxi","ping xiang, Jiangxi",Jiangxi,Other,TRUE,3,4,6.529740647847759e-4,2.1755454173812892e-8,3,TRUE
"Shi family, wu xing, Zhejiang","wu xing, Zhejiang",Zhejiang,Zhejiang,TRUE,3,4,0.00122872494388311,5.999824333491358e-9,3,TRUE
"Cao family, ping hu, Zhejiang","ping hu, Zhejiang",Zhejiang,Zhejiang,TRUE,2,4,4.162384476715703e-4,1.1387107464466352e-5,3,TRUE
"Zhu family, wu jiang, Jiangsu","wu jiang, Jiangsu",Jiangsu,Jiangsu,FALSE,4,4,7.716841746963719e-4,8.803742342751971e-9,3,TRUE
"Zhu family, jia ding, Jiangsu","jia ding, Jiangsu",Jiangsu,Jiangsu,TRUE,3,4,6.30656016439228e-4,8.712829624618287e-8,3,TRUE
"Li family, unknown",unknown,qi ta,Other,FALSE,4,4,2.722938818698855e-4,2.487775404363625e-5,3,TRUE
"Li family, shang yuan, Jiangsu","shang yuan, Jiangsu",Jiangsu,Jiangsu,TRUE,4,4,4.641606373705998e-5,3.439421474198448e-7,3,TRUE
"Yang family, Xincheng, Jiangxi","Xincheng, Jiangxi",Jiangxi,Other,FALSE,2,4,1.0953643359778168e-4,7.865179906543085e-5,3,TRUE
"Yang family, Qiantang, Zhejiang","Qiantang, Zhejiang",Zhejiang,Zhejiang,TRUE,3,4,0,1.6160136706786215e-6,3,TRUE
"Yang family, zhang sha, Hunan","zhang sha, Hunan",Hunan,Other,TRUE,4,4,8.84141579856761e-4,2.763798801074676e-7,3,TRUE
"Lin family, xin jian, Jiangxi","xin jian, Jiangxi",Jiangxi,Other,TRUE,2,4,0.00428999442185711,9.493922127819194e-5,3,TRUE
"Lin family, Yinxian, Zhejiang","Yinxian, Zhejiang",Zhejiang,Zhejiang,TRUE,1,4,0,8.293540497837904e-8,3,TRUE
"cha family, tian jin, Zhili","tian jin, Zhili",Zhili,Other,FALSE,4,4,7.681790088212431e-4,3.703327609455659e-5,3,TRUE
"yin family, wu jiang, Jiangsu","wu jiang, Jiangsu",Jiangsu,Jiangsu,TRUE,2,4,4.3951493981109896e-5,2.8812457719278173e-7,3,TRUE
"jiang family, Wuyuan, Anhui","Wuyuan, Anhui",Anhui,Anhui,TRUE,4,4,6.144993924835551e-4,1.6003133093164676e-5,3,TRUE
"Wang family, Shexian, Anhui","Shexian, Anhui",Anhui,Anhui,TRUE,4,4,2.3276492139528605e-5,1.2135291381875296e-5,3,TRUE
"Wang family, wu jiang, Jiangsu","wu jiang, Jiangsu",Jiangsu,Jiangsu,FALSE,2,4,0.00122845110279912,4.080665334344356e-5,3,TRUE
"Wang family, Jiangdu, Jiangsu","Jiangdu, Jiangsu",Jiangsu,Jiangsu,TRUE,3,4,4.271920910313485e-5,3.428951129660811e-6,3,TRUE
"Shen family, jing xi, Jiangsu","jing xi, Jiangsu",Jiangsu,Jiangsu,TRUE,2,4,0,2.13479416864749e-7,3,TRUE
"Shen family, yi ning, Jiangxi","yi ning, Jiangxi",Jiangxi,Other,TRUE,3,4,0.00148832629150985,4.246829584549892e-9,3,TRUE
"Hong family, Yanghu, Jiangsu","Yanghu, Jiangsu",Jiangsu,Jiangsu,TRUE,3,4,6.144993924835551e-4,1.60171264281322e-4,3,TRUE
"Hong family, Qiantang, Zhejiang","Qiantang, Zhejiang",Zhejiang,Zhejiang,TRUE,4,4,1.82104320856312e-5,1.1062531922641498e-5,3,TRUE
"Pan family, wu jiang, Jiangsu","wu jiang, Jiangsu",Jiangsu,Jiangsu,TRUE,3,4,7.18148242775456e-5,6.2473108573302e-8,3,TRUE
"Pan family, luo tian, Hubei","luo tian, Hubei",Hubei,Other,TRUE,4,4,0.00184267665419868,6.458450020532201e-14,3,TRUE
"Wang family, Wuyuan, Anhui","Wuyuan, Anhui",Anhui,Anhui,TRUE,2,4,2.62887440634676e-5,2.889240967841901e-8,3,TRUE
