family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component,confirmed_female_writer_count,literary_clue_count,uncertain_literary_clue_count,has_confirmed_female_writer,literary_norm,female_norm,female_binary,LCP_main_0604,LCP_equal_0505,LCP_literary_heavy_0802,LCP_female_heavy_0208,LCP_binary_female_0703,record_exposure_log,z_weighted_degree,z_unweighted_degree,z_betweenness,z_eigenvector,z_record_exposure,LCP_pca
汪氏（浙江秀水）,浙江秀水,浙江,浙江,TRUE,16,30,0.01346508558127197,9.78063623969693e-5,3,TRUE,4,4,0,1,0.5206780355557714,0.5286339468194481,1,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128,0.66447462488904,3.4339872044851463,2.047172613077804,2.64595827588947,1.3061130431078714,-0.04303397898589799,3.2626240199973964,0.40937691950352345
王氏（江苏太仓）,江苏太仓,江苏,江苏,TRUE,20,30,0.01018971801579496,3.1826472873573415e-4,3,TRUE,11,11,0,1,0.8039057008383146,0.8161893041084362,1,0.8088191421463632,0.8100475024733753,0.8063624214923389,0.8137325834544118,0.8627339905868201,3.4339872044851463,2.047172613077804,3.4369229741377842,0.9540112472171209,-0.03535090168524529,3.2626240199973964,0.16361845478807957
马氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,4,30,6.144993924835551e-4,0.12097420265518806,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3.4339872044851463,2.047172613077804,0.27306418114452713,-0.07532411924685681,4.169565034447615,3.2626240199973964,1
吴氏（江苏吴县）,江苏吴县,江苏,江苏,TRUE,17,29,0.0067892050749325,1.62809312645245e-4,3,TRUE,3,3,0,1,0.4484876484351508,0.455340497393906,1,0.45122878801865285,0.4519140729145284,0.44985821822690186,0.45396992760215493,0.6139413539046055,3.4011973816621555,1.968958088736063,2.843699450451549,0.5884563317787872,-0.0407685957309003,3.2164387036163524,0.472016982183413
张氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,20,28,0.00473379953865079,1.5434942505027278e-4,3,TRUE,4,4,0,1,0.5206780355557714,0.5286339468194481,1,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128,0.66447462488904,3.367295829986474,1.8907435643943218,3.4369229741377842,0.36750037305322575,-0.041063426775085426,3.168687488295608,0.40937691950352345
童氏（浙江鄞县）,浙江鄞县,浙江,浙江,TRUE,18,28,0.0089572049369166,4.157796354175821e-6,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3.367295829986474,1.8907435643943218,3.041440625013627,0.8215161730440618,-0.04629767536517914,3.168687488295608,1
刘氏（江苏宝应）,江苏宝应,江苏,江苏,TRUE,7,27,0.00700184267665419,1.1279809725745507e-4,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3.332204510175204,1.8125290400525806,0.8662877048307629,0.6113148598503398,-0.042511510005850274,3.11926045367999,1
钱氏（江苏武进）,江苏武进,江苏,江苏,TRUE,10,27,0.00812062042531354,0.00101633669118714,3,TRUE,1,1,0,1,0.2242438242175754,0.227670248696953,1,0.22561439400932642,0.2259570364572642,0.22492910911345093,0.22698496380107747,0.45697067695230276,3.332204510175204,1.8125290400525806,1.4595112285169987,0.7315833935738819,-0.011022766908581961,3.11926045367999,0.6665947890747511
陈氏（浙江钱塘）,浙江钱塘,浙江,浙江,TRUE,21,27,0.0107410970384178,6.020667191977528e-5,3,TRUE,6,6,0,1,0.6295320036582305,0.6391511932854698,1,0.6333796795091262,0.6343415984718501,0.6314558415836784,0.6372273553600218,0.7406724025607613,3.332204510175204,1.8125290400525806,3.634664148699863,1.0132844555520502,-0.04434434580578539,3.11926045367999,0.3149236320665172
左氏（江苏阳湖）,江苏阳湖,江苏,江苏,TRUE,16,26,0.01151583910521878,4.439931134088973e-4,3,TRUE,5,5,0,1,0.5796618766207391,0.5885190554114832,1,0.5832047481370367,0.5840904660161111,0.581433312378888,0.5867476196533344,0.7057633136345174,3.295836866004329,1.7343145157108397,2.64595827588947,1.096569176310714,-0.030969208604721642,3.0680356830817352,0.35819626167941765
徐氏（江苏昆山）,江苏昆山,江苏,江苏,TRUE,16,26,0.02691295112237876,0.00522702966483984,3,TRUE,4,4,0,1,0.5206780355557714,0.5286339468194481,1,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128,0.66447462488904,3.295836866004329,1.7343145157108397,2.64595827588947,2.7517576961932275,0.13572185495882771,3.0680356830817352,0.40937691950352345
左氏（安徽桐城）,安徽桐城,安徽,安徽,TRUE,7,25,0.00122872494388311,0.08873883228209166,3,TRUE,7,7,0,1,0.6727314726527263,0.6830107460908589,1,0.6768431820279793,0.6778711093717926,0.6747873273403528,0.6809548914032324,0.7709120308569084,3.258096538021482,1.6560999913690986,0.8662877048307629,-0.009294913239782876,3.046147282131083,3.0148774517115426,0.2774391752920749
张氏（直隶南皮）,直隶南皮,直隶,Other,TRUE,14,25,0.02487131979262197,7.504813522213604e-6,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3.258096538021482,1.6560999913690986,2.250475926765313,2.532282463754851,-0.04618103024956974,3.0148774517115426,1
杨氏（江苏常熟）,江苏常熟,江苏,江苏,TRUE,14,25,0.0145287193423116,0.00477275378863006,3,TRUE,1,1,0,1,0.2242438242175754,0.227670248696953,1,0.22561439400932642,0.2259570364572642,0.22492910911345093,0.22698496380107747,0.45697067695230276,3.258096538021482,1.6560999913690986,2.250475926765313,1.4204536018224,0.11989012794975495,3.0148774517115426,0.6665947890747511
程氏（江西新建）,江西新建,江西,Other,TRUE,15,25,0.01362901598218717,6.672448848119722e-5,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3.258096538021482,1.6560999913690986,2.4482171013273915,1.3237355503256,-0.044117196846530524,3.0148774517115426,1
纪氏（直隶献县）,直隶献县,直隶,Other,TRUE,12,25,0.03585554207344618,2.2329411395681376e-4,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3.258096538021482,1.6560999913690986,1.854993577641156,3.71308562988077,-0.038660672082054454,3.0148774517115426,1
朱氏（浙江平湖）,浙江平湖,浙江,浙江,TRUE,14,24,0.00975161792158451,0.00497824501951941,3,TRUE,1,1,0,1,0.2242438242175754,0.227670248696953,1,0.22561439400932642,0.2259570364572642,0.22492910911345093,0.22698496380107747,0.45697067695230276,3.2188758248682006,1.5778854670273577,2.250475926765313,0.9069155161677903,0.12705159357135487,2.9596340594110377,0.6665947890747511
孙氏（浙江仁和）,浙江仁和,浙江,浙江,TRUE,13,23,0.00400866834823348,5.423908699043599e-6,3,TRUE,4,4,0,1,0.5206780355557714,0.5286339468194481,1,0.5238604000612421,0.5246559911876097,0.5222692178085068,0.5270427645667128,0.66447462488904,3.1780538303479458,1.4996709426856165,2.0527347522032344,0.28954881821295275,-0.04625355075707975,2.9021352207499973,0.40937691950352345
