family_A,family_B,weight,marriage_types,n_writing_records,source_lines,A_is_focal,B_is_focal,edge_scope
周氏（湖南湘潭）,黄氏（湖南湘潭）,1,适,1,5986,TRUE,FALSE,external_to_nonfocal_family
周氏（湖南长沙）,李氏（湖南湘阴）,1,娶,0,5916,FALSE,TRUE,external_to_nonfocal_family
周氏（直隶涿州）,姚氏（安徽桐城）,1,娶,0,3110,FALSE,TRUE,external_to_nonfocal_family
周氏（福建侯官）,梁氏（福建长乐）,1,娶,1,6264,FALSE,TRUE,external_to_nonfocal_family
周氏（福建闽县）,林氏（湖北侯官）,1,娶,0,7227,FALSE,FALSE,external_to_nonfocal_family
唐氏（不详）,黄氏（贵州贵筑）,1,娶,0,6357,FALSE,TRUE,external_to_nonfocal_family
唐氏（安徽石域）,左氏（江苏阳湖）,1,适,0,1030,FALSE,TRUE,external_to_nonfocal_family
唐氏（广西灌阳）,陈氏（江西义宁）,1,娶,0,5637,FALSE,TRUE,external_to_nonfocal_family
唐氏（江苏华亭）,朱氏（浙江秀水）,1,娶,0,3641,FALSE,TRUE,external_to_nonfocal_family
唐氏（江苏吴县）,阮氏（江苏仪征）,1,娶,0,513,FALSE,TRUE,external_to_nonfocal_family
唐氏（江苏常熟）,崔氏（江苏常熟）,1,娶,1,1660,TRUE,FALSE,external_to_nonfocal_family
唐氏（江苏常熟）,崔氏（江苏江都）,1,适,1,1659,TRUE,FALSE,external_to_nonfocal_family
唐氏（江苏新阳）,赵氏（江苏太仓）,1,适,1,6744,FALSE,FALSE,external_to_nonfocal_family
唐氏（江苏无锡）,沈氏（浙江桐乡）,1,适,1,3809,FALSE,TRUE,external_to_nonfocal_family
唐氏（江苏昆山）,陆氏（江苏太仓）,1,娶,0,2288,TRUE,TRUE,within_focal_network
唐氏（江苏昆山）,顾氏（江苏昆山）,1,适,0,2289,TRUE,TRUE,within_focal_network
唐氏（江苏武进）,钱氏（浙江秀水）,1,娶,0,3693,FALSE,TRUE,external_to_nonfocal_family
唐氏（江苏江宁）,许氏（浙江钱塘）,1,适,0,4638,FALSE,TRUE,external_to_nonfocal_family
唐氏（浙江嘉兴）,张氏（浙江海盐）,1,适,0,4036,FALSE,TRUE,external_to_nonfocal_family
唐氏（浙江嘉兴）,邵氏（浙江平湖）,1,适,1,6927,FALSE,FALSE,external_to_nonfocal_family
唐氏（浙江秀水）,钱氏（浙江秀水）,1,娶,0,3712,FALSE,TRUE,external_to_nonfocal_family
唐氏（湖南善化）,戚氏（浙江钱塘）,1,适,0,5959,TRUE,FALSE,external_to_nonfocal_family
唐氏（湖南善化）,杨氏（陕西梆县）,1,娶,0,5955,TRUE,FALSE,external_to_nonfocal_family
唐氏（湖南善化）,王氏（湖南宁乡）,1,娶,0,5954,TRUE,FALSE,external_to_nonfocal_family
唐氏（湖南善化）,贺氏（湖南善化）,1,娶,0,5957,TRUE,TRUE,within_focal_network
唐氏（湖南善化）,郑氏（不详）,1,适,1,5960,TRUE,FALSE,external_to_nonfocal_family
唐氏（湖南善化）,郑氏（湖南长沙）,1,娶,1,5922,TRUE,TRUE,within_focal_network
唐氏（湖南善化）,顾氏（直隶宛平）,1,适,0,5958,TRUE,FALSE,external_to_nonfocal_family
唐氏（湖南善化）,黄氏（湖南宁乡）,1,娶,0,5956,TRUE,TRUE,within_focal_network
唐氏（湖南长沙）,曾氏（湖南湘乡）,1,娶,0,6021,FALSE,TRUE,external_to_nonfocal_family
唐氏（贵州遵义）,张氏（直隶南皮）,1,娶,0,156,FALSE,TRUE,external_to_nonfocal_family
唐氏（贵州遵义）,黄氏（贵州贵筑）,1,适,0,6351,FALSE,TRUE,external_to_nonfocal_family
商氏（浙江会稽）,徐氏（浙江上虞）,2,娶;适,2,5215;5265,TRUE,TRUE,within_focal_network
商氏（浙江会稽）,祁氏（浙江山阴）,2,娶;适,0,5214;5244,TRUE,TRUE,within_focal_network
喻氏（江西新城）,陈氏（江西新城）,2,娶;适,0,5808;5811,FALSE,TRUE,external_to_nonfocal_family
喻氏（江西萍乡）,陈氏（江西义宁）,1,娶,0,5636,FALSE,TRUE,external_to_nonfocal_family
喻氏（湖北黄梅）,黄氏（安徽芜湖）,1,娶,0,3466,FALSE,TRUE,external_to_nonfocal_family
夏氏（《“林屋吟社”与〈吴中女子诗钞〉》）,张氏（江苏吴县）,1,适,1,1948,FALSE,TRUE,external_to_nonfocal_family
夏氏（江苏江宁）,陶氏（江苏江宁）,1,娶,0,6566,FALSE,FALSE,external_to_nonfocal_family
夏氏（江苏江阴兀74册）,李氏（江苏新阳）,1,娶,0,2232,FALSE,TRUE,external_to_nonfocal_family
夏氏（江苏江阴）,姚氏（安徽桐城）,2,娶;适,1,672;3126,TRUE,TRUE,within_focal_network
夏氏（江苏江阴）,张氏（云南太和）,1,适,0,677,TRUE,FALSE,external_to_nonfocal_family
夏氏（江苏江阴）,张氏（浙江仁和）,1,娶,0,674,TRUE,FALSE,external_to_nonfocal_family
夏氏（江苏江阴）,朱氏（浙江归安）,1,适,0,680,TRUE,FALSE,external_to_nonfocal_family
夏氏（江苏江阴）,李氏（江苏新阳）,1,适,0,679,TRUE,TRUE,within_focal_network
夏氏（江苏江阴）,王氏（江苏长洲）,2,娶;适,0,681;2031,TRUE,TRUE,within_focal_network
夏氏（江苏江阴）,缪氏（江苏江阴）,2,娶;适,0,678;687,TRUE,TRUE,within_focal_network
夏氏（江苏江阴）,赵氏（江苏昭文）,1,适,0,676,TRUE,FALSE,external_to_nonfocal_family
夏氏（江苏高邮）,孙氏（江苏高邮）,2,娶;适,0,446;455,TRUE,TRUE,within_focal_network
夏氏（江苏高邮）,李氏（江苏兴化）,2,娶;适,0,417;454,TRUE,TRUE,within_focal_network
夏氏（江苏高邮）,郭氏（江苏吴江）,2,娶;适,0,457;2160,TRUE,TRUE,within_focal_network
夏氏（江苏高邮）,陈氏（江苏高邮）,1,娶,0,453,TRUE,FALSE,external_to_nonfocal_family
夏氏（江西新建）,左氏（不详）,1,娶,1,5660,TRUE,FALSE,external_to_nonfocal_family
夏氏（江西新建）,左氏（湖南湘阴）,1,适,1,5899,TRUE,TRUE,within_focal_network
夏氏（江西新建）,皮氏（湖南善化）,1,娶,0,5664,TRUE,FALSE,external_to_nonfocal_family
夏氏（江西新建）,陈氏（江西新城）,1,娶,0,5849,TRUE,TRUE,within_focal_network
夏氏（江西新建）,陈氏（湖南长沙）,2,娶;适,0,5659;5937,TRUE,TRUE,within_focal_network
夏氏（浙江上虞）,张氏（浙江上虞）,1,适,0,7122,FALSE,FALSE,external_to_nonfocal_family
夏氏（浙江仁和）,许氏（浙江钱塘）,2,娶;适,0,4643;4663,TRUE,TRUE,within_focal_network
夏氏（浙江仁和）,陈氏（江苏仪征）,2,娶;适,0,533;5078,TRUE,TRUE,within_focal_network
夏氏（浙江仁和）,顾氏（直隶大兴工90册）,1,娶,0,5076,TRUE,FALSE,external_to_nonfocal_family
夏氏（浙江嘉善）,杜氏（江苏华亭）,1,适,0,3542,TRUE,FALSE,external_to_nonfocal_family
夏氏（浙江嘉善）,钱氏（浙江嘉善工（《明清两代嘉兴的望族》）,1,娶,0,3540,TRUE,FALSE,external_to_nonfocal_family
夏氏（浙江嘉善）,钱氏（浙江嘉善）,1,适,0,3536,TRUE,TRUE,within_focal_network
夏氏（浙江山阴）,蔡氏（浙江桐乡）,1,适,0,7107,FALSE,FALSE,external_to_nonfocal_family
夏氏（浙江钱塘）,戴氏（浙江钱塘）,1,适,1,4836,TRUE,TRUE,within_focal_network
夏氏（浙江钱塘）,杨氏（浙江钱塘）,1,娶,1,4821,TRUE,TRUE,within_focal_network
夏氏（浙江钱塘）,汪氏（浙江钱塘）,2,娶;适,0,4789;4823,TRUE,TRUE,within_focal_network
夏氏（浙江钱塘）,许氏（不详）,1,娶,1,4824,TRUE,FALSE,external_to_nonfocal_family
奚氏（浙江钱塘）,程氏（不详）,1,适,0,7058,FALSE,FALSE,external_to_nonfocal_family
如氏（浙江会稽）,陈氏（浙江海宁）,1,娶,0,4503,FALSE,TRUE,external_to_nonfocal_family
姚氏（《明清时期桐城女性文学研究》）,方氏（安徽桐城）,1,娶,1,2858,FALSE,TRUE,external_to_nonfocal_family
姚氏（上海桐城）,汪氏（安徽桐城）,1,适,1,6886,FALSE,FALSE,external_to_nonfocal_family
姚氏（不详）,王氏（浙江长兴）,1,娶,1,4054,FALSE,TRUE,external_to_nonfocal_family
姚氏（安徽桐城工（《南通范氏诗文世家》）,马氏（安徽桐城）,1,娶,0,3380,FALSE,TRUE,external_to_nonfocal_family
姚氏（安徽桐城工（《张氏宗谱》卷七）,张氏（安徽桐城）,1,娶,0,3220,FALSE,TRUE,external_to_nonfocal_family
姚氏（安徽桐城工（《张氏宗谱》卷三）,张氏（安徽桐城）,2,娶;适,0,3143;3163,FALSE,TRUE,external_to_nonfocal_family
姚氏（安徽桐城工（《张氏宗谱》卷二）,张氏（安徽桐城）,1,适,0,3144,FALSE,TRUE,external_to_nonfocal_family
姚氏（安徽桐城工（《张氏宗谱》卷八）,张氏（安徽桐城）,1,娶,0,3214,FALSE,TRUE,external_to_nonfocal_family
姚氏（安徽桐城工（《张氏宗谱》卷十二）,张氏（安徽桐城）,1,娶,0,3310,FALSE,TRUE,external_to_nonfocal_family
姚氏（安徽桐城工（《桐城桂林方氏家谱》卷二十八）,方氏（安徽桐城）,1,娶,0,2875,FALSE,TRUE,external_to_nonfocal_family
姚氏（安徽桐城工（《桐城麻溪姚氏宗谱》卷五）,张氏（安徽桐城）,2,适,0,3247;3266,FALSE,TRUE,external_to_nonfocal_family
姚氏（安徽桐城工（《桐城麻溪姚氏宗谱》卷十二）,张氏（安徽桐城）,1,适,0,3300,FALSE,TRUE,external_to_nonfocal_family
姚氏（安徽桐城）,孔氏（山东曲阜）,1,娶,0,267,TRUE,TRUE,within_focal_network
姚氏（安徽桐城）,孙氏（安徽桐城）,1,适,0,3052,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,宋氏（安徽庐江）,1,娶,0,2951,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,左氏（《明清时期桐城女性文学研究》）,1,适,1,2968,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,左氏（安徽桐城）,3,娶;适,1,3097;3403;3408,TRUE,TRUE,within_focal_network
姚氏（安徽桐城）,庄氏（江苏武进工（《桐城麻溪姚氏宗谱》卷六）,1,娶,0,2980,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,庄氏（江苏武进）,3,娶;适,0,741;743;2986,TRUE,TRUE,within_focal_network
姚氏（安徽桐城）,张氏（上海桐城）,1,适,1,6878,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,张氏（不详）,2,娶;适,0,2937;3101,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,张氏（安徽怀宁）,1,娶,0,2954,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,张氏（安徽桐城九（《张氏宗谱》卷五）,1,娶,0,3050,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,张氏（安徽桐城九（《桐城麻溪姚氏宗谱》卷八）,1,娶,0,2941,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,张氏（安徽桐城兀（《张氏宗谱》卷四）,1,适,0,2971,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,张氏（安徽桐城兀（《桐城麻溪姚氏宗谱》卷六）,1,娶,0,3039,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,张氏（安徽桐城工（《张氏宗谱》卷）,1,适,0,3077,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,张氏（安徽桐城工（《桐城麻溪姚氏宗谱》卷五）,4,娶;适,0,2982;2983;2997;3084,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,张氏（安徽桐城（《张氏宗谱》卷）,1,适,0,3076,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,张氏（安徽桐城）,175,娶;适,5,2944;2947;2949;2950;2959;2960;2961;2963;2964;2965;2967;2970;2976;2977;2978;2987;2988;2989;2992;2993;2995;2996;2998;2999;3001;3002;3007;3008;3009;3013;3014;3015;3016;3017;3018;3019;3020;3021;3022;3024;3025;3026;3030;3031;3033;3034;3036;3038;3040;3041;3047;3048;3051;3054;3056;3057;3062;3063;3065;3066;3067;3070;3071;3072;3073;3074;3075;3078;3079;3080;3081;3082;3083;3091;3092;3093;3094;3095;3098;3105;3106;3112;3115;3116;3124;3136;3150;3151;3152;3157;3158;3159;3160;3161;3162;3165;3167;3172;3174;3175;3176;3178;3179;3183;3187;3188;3189;3190;3191;3192;3193;3198;3201;3203;3204;3207;3208;3209;3210;3212;3217;3218;3219;3221;3222;3226;3227;3228;3232;3237;3240;3241;3242;3243;3244;3248;3249;3250;3251;3252;3253;3254;3259;3260;3261;3267;3268;3269;3273;3274;3275;3277;3279;3280;3281;3285;3287;3292;3293;3294;3295;3296;3297;3298;3301;3309;3312;3314;3317;3318;3321;3326;3327;3333;3339,TRUE,TRUE,within_focal_network
姚氏（安徽桐城）,张氏（江苏江宁工（《桐城麻溪姚氏宗谱》卷五）,1,娶,0,3090,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,徐氏（安徽桐城）,1,娶,0,3121,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,徐氏（江苏武进）,1,娶,0,3099,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,方氏（即方孝标）,1,娶,0,2953,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,方氏（安徽桐城工（《桐城麻溪姚氏宗谱》卷五）,1,适,1,2945,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,方氏（安徽桐城）,53,娶;适,4,2778;2781;2782;2786;2788;2792;2798;2799;2808;2818;2820;2823;2825;2826;2827;2828;2832;2836;2838;2841;2842;2844;2854;2855;2856;2864;2870;2871;2872;2873;2874;2877;2878;2912;2913;2934;2935;2936;2942;2943;2946;2952;2972;3003;3004;3032;3037;3088;3096;3100;3107;3125;3128,TRUE,TRUE,within_focal_network
姚氏（安徽桐城）,方氏（湖北汉川）,1,娶,0,2957,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,曹氏（江西新建）,1,娶,0,3109,TRUE,TRUE,within_focal_network
姚氏（安徽桐城）,江氏（安徽桐城）,3,娶;适,0,2948;2966;2984,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,江氏（安徽硕山）,1,娶,0,3023,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,江氏（湖北汉阳兀（《桐城麻溪姚氏宗谱》卷六）,1,娶,0,2981,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,潘氏（安徽桐城）,2,娶;适,0,3087;3361,TRUE,TRUE,within_focal_network
姚氏（安徽桐城）,熊氏（河南商城）,1,娶,0,3114,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,王氏（江苏江都）,1,娶,0,2985,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,范氏（江苏通州）,2,娶;适,0,2305;3123,TRUE,TRUE,within_focal_network
姚氏（安徽桐城）,钱氏（江苏昆山）,1,适,0,3061,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,陈氏（安徽桐城）,1,娶,0,3043,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,陈氏（广东三水）,1,适,0,3117,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,陈氏（江西新城）,1,适,0,5831,TRUE,TRUE,within_focal_network
姚氏（安徽桐城）,靳氏（广西临桂）,1,娶,0,3111,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,顾氏（不详）,1,娶,1,3089,TRUE,FALSE,external_to_nonfocal_family
姚氏（安徽桐城）,马氏（安徽桐城）,18,娶;适,3,2958;2969;3005;3035;3042;3118;3122;3129;3365;3367;3369;3370;3371;3373;3376;3377;3378;3379,TRUE,TRUE,within_focal_network
姚氏（广东番禺）,黄氏（广东香山）,1,适,0,6341,FALSE,TRUE,external_to_nonfocal_family
姚氏（江苏吴县）,谢氏（江西南康）,1,娶,0,5853,FALSE,TRUE,external_to_nonfocal_family
姚氏（江苏娄县59册）,张氏（江苏娄县）,1,适,0,2628,FALSE,TRUE,external_to_nonfocal_family
姚氏（江苏娄县）,张氏（江苏娄县）,1,娶,0,2646,TRUE,TRUE,within_focal_network
姚氏（江苏娄县）,杨氏（江苏华亭工41册）,1,娶,0,2643,TRUE,FALSE,external_to_nonfocal_family
姚氏（江苏娄县）,杨氏（江苏华亭）,1,适,0,2557,TRUE,TRUE,within_focal_network
