family_id,location,province,core_region,is_focal_family,unweighted_degree,weighted_degree,betweenness,eigenvector,component_id,in_giant_component
孙氏（浙江仁和工（《平阳汪氏迁杭支谱》卷一）,浙江仁和工（《平阳汪氏迁杭支谱》卷一,浙江,浙江,FALSE,1,1,0,4.6160637330319813e-7,3,TRUE
孙氏（浙江仁和工（《平阳汪氏迁杭支谱》卷二）,浙江仁和工（《平阳汪氏迁杭支谱》卷二,浙江,浙江,FALSE,1,1,0,4.6160637330382705e-7,3,TRUE
孙氏（浙江嘉善）,浙江嘉善,浙江,浙江,FALSE,1,1,0,0,87,FALSE
孙氏（浙江平湖）,浙江平湖,浙江,浙江,FALSE,1,1,0,4.984062898244279e-5,3,TRUE
孙氏（浙江平湖工（《吴江叶氏诗录外编》卷十）,浙江平湖工（《吴江叶氏诗录外编》卷十,浙江,浙江,FALSE,1,1,0,8.357483351483489e-12,3,TRUE
孙氏（浙江平阳工57册）,浙江平阳工57册,浙江,浙江,FALSE,1,1,0,5.945880731737012e-9,3,TRUE
孙氏（浙江海宁）,浙江海宁,浙江,浙江,FALSE,1,1,0,1.3920559974005365e-7,3,TRUE
孙氏（浙江鄞县）,浙江鄞县,浙江,浙江,FALSE,1,1,0,2.073385124409704e-8,3,TRUE
孙氏（浙江钱塘（《清闺秀艺文略》卷一）,浙江钱塘（《清闺秀艺文略》卷一,浙江,浙江,FALSE,1,1,0,2.1046904671628225e-8,3,TRUE
孙氏（直隶其他）,直隶其他,直隶,Other,FALSE,1,1,0,0,89,FALSE
孙氏（直隶大兴）,直隶大兴,直隶,Other,FALSE,1,1,0,0.004907893560915933,3,TRUE
孟氏（浙江会稽）,浙江会稽,浙江,浙江,FALSE,1,1,0,3.9246668292309783e-7,3,TRUE
孟氏（浙江永嘉）,浙江永嘉,浙江,浙江,FALSE,1,1,0,0,90,FALSE
季氏（江苏常熟）,江苏常熟,江苏,江苏,FALSE,1,1,0,2.4113467788321265e-7,3,TRUE
季氏（江苏泰兴）,江苏泰兴,江苏,江苏,FALSE,1,1,0,7.851087756044141e-7,3,TRUE
